Year,Horsepower,Cylinders,Mileage,Price,Age
2011,335.0,6.0,26,46135,14
2011,300.0,6.0,28,40650,14
2011,300.0,6.0,28,36350,14
2011,230.0,6.0,28,29450,14
2011,230.0,6.0,28,34500,14
2012,230.0,6.0,28,31200,13
2012,300.0,6.0,26,44100,13
2012,300.0,6.0,28,39300,13
2012,230.0,6.0,28,36900,13
2013,230.0,6.0,27,37200,12
2013,300.0,6.0,28,39600,12
2013,230.0,6.0,28,31500,12
2013,300.0,6.0,28,44400,12
2013,230.0,6.0,28,37200,12
2013,230.0,6.0,28,31500,12
2013,320.0,6.0,25,48250,12
2013,320.0,6.0,28,43550,12
1992,172.0,6.0,24,2000,33
1992,172.0,6.0,24,2000,33
1992,172.0,6.0,20,2000,33
1992,172.0,6.0,24,2000,33
1992,172.0,6.0,21,2000,33
1993,172.0,6.0,24,2000,32
1993,172.0,6.0,20,2000,32
1993,172.0,6.0,24,2000,32
1993,172.0,6.0,24,2000,32
1993,172.0,6.0,21,2000,32
1994,172.0,6.0,21,2000,31
1994,172.0,6.0,22,2000,31
1994,172.0,6.0,22,2000,31
1994,172.0,6.0,22,2000,31
1994,172.0,6.0,21,2000,31
2017,160.0,4.0,35,27495,8
2017,160.0,4.0,35,24995,8
2017,160.0,4.0,35,28195,8
1991,130.0,4.0,26,2000,34
1991,158.0,6.0,25,2000,34
1992,158.0,6.0,25,2000,33
1992,130.0,4.0,26,2000,33
1993,130.0,4.0,26,2000,32
1993,158.0,6.0,25,2000,32
2016,240.0,4.0,35,32850,9
2016,240.0,4.0,34,38650,9
2016,320.0,6.0,31,48750,9
2016,240.0,4.0,35,34850,9
2016,240.0,4.0,34,40650,9
2016,320.0,6.0,31,44150,9
2016,240.0,4.0,34,32850,9
2016,320.0,6.0,30,46150,9
2016,320.0,6.0,30,50750,9
2017,335.0,6.0,31,46450,8
2017,335.0,6.0,32,49050,8
2017,335.0,6.0,32,51050,8
2017,335.0,6.0,32,44450,8
2017,248.0,4.0,34,38950,8
2017,248.0,4.0,35,33150,8
2017,248.0,4.0,33,35150,8
2017,248.0,4.0,33,40950,8
1990,162.0,5.0,20,2000,35
1990,162.0,5.0,22,2000,35
1990,162.0,5.0,23,2000,35
1991,217.0,5.0,22,2000,34
1991,217.0,5.0,22,2000,34
1991,162.0,5.0,20,2000,34
2015,184.0,4.0,36,25170,10
2015,184.0,4.0,36,23950,10
2015,295.0,6.0,29,29370,10
2015,184.0,4.0,36,21995,10
2015,184.0,4.0,36,26625,10
2015,295.0,6.0,29,30825,10
2016,184.0,4.0,36,21995,9
2016,184.0,4.0,36,27795,9
2016,295.0,6.0,29,31785,9
2016,295.0,6.0,29,29905,9
2016,184.0,4.0,36,22490,9
2016,184.0,4.0,36,27570,9
2016,184.0,4.0,36,25690,9
2016,184.0,4.0,36,24490,9
2017,295.0,6.0,28,29905,8
2017,295.0,6.0,28,31785,8
2017,184.0,4.0,36,26685,8
2017,184.0,4.0,36,22490,8
2017,184.0,4.0,36,25690,8
2017,295.0,6.0,28,30900,8
2017,184.0,4.0,36,27795,8
2017,184.0,4.0,36,21995,8
2017,184.0,4.0,36,24490,8
1996,115.0,4.0,36,2000,29
1996,115.0,4.0,36,2000,29
1996,140.0,4.0,29,2000,29
1997,140.0,4.0,29,2000,28
1997,115.0,4.0,35,2000,28
1997,115.0,4.0,35,2000,28
1998,115.0,4.0,35,2000,27
1998,115.0,4.0,35,2000,27
1998,140.0,4.0,28,2073,27
1996,155.0,4.0,26,3713,29
1996,155.0,4.0,26,3520,29
1997,155.0,4.0,26,3910,28
1997,155.0,4.0,26,4182,28
1997,155.0,4.0,26,4107,28
1998,155.0,4.0,25,4299,27
1998,155.0,4.0,25,4693,27
1998,155.0,4.0,25,4107,27
1991,114.0,4.0,26,2000,34
1991,114.0,4.0,23,2000,34
1991,114.0,4.0,26,2000,34
1992,114.0,4.0,26,2000,33
1992,114.0,4.0,26,2000,33
1992,114.0,4.0,26,2000,33
1993,114.0,4.0,26,2000,32
1993,114.0,4.0,25,2000,32
2012,100.0,4.0,35,16020,13
2012,100.0,4.0,35,14530,13
2012,100.0,4.0,34,16860,13
2012,100.0,4.0,34,15370,13
2013,100.0,4.0,34,17050,12
2013,100.0,4.0,34,15560,12
2013,100.0,4.0,35,16210,12
2013,100.0,4.0,35,14720,12
2014,100.0,4.0,34,17050,11
2014,100.0,4.0,34,15560,11
2014,100.0,4.0,35,16210,11
2014,100.0,4.0,35,14720,11
2015,300.0,6.0,30,47250,10
2015,240.0,4.0,33,41850,10
2015,240.0,4.0,33,41850,10
2016,240.0,4.0,34,43000,9
